id,nombre,cct,nivel,tipo,sector,direccion,telefono,gmail,lat,lng,calificacion,imagen,descripcion,servicios
28,MODERN ACADEMY CANCUN,23PBH0074U,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,CALLE CARRETERA CANCUN-AEROPUERTO KILOMETRO 5.  CALLE NIGUNO  160 295 77569,,,21.103599,-86.837019,,,,[BACHILLERATO GENERAL]
29,COLEGIO DEL CARIBE,23PBH0031W,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA FRANCISCO I. MADERO CALLE 33 CALLE 55 NORTE CALLE 10 PONIENTE 295  77517,,,21.16315,-86.85514,,,,[BACHILLERATO GENERAL]
30,BACHILLERATO INSTITUTO METROPOLITANO,23PBH0103Z,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA LEONA VICARIO CALLE 71 CALLE 75 NORTE CALLE 64 136 230 77516,,,21.175298,-86.852949,,,,[BACHILLERATO GENERAL]
31,BACHILLERATO INSTITUTO METROPOLITANO,23PBH0103Z,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA LEONA VICARIO CALLE 71 CALLE 75 NORTE CALLE 64 136 230 77516,,,21.175298,-86.852949,,,,[BACHILLERATO GENERAL]
32,JOSE MARTI,23PCT0003U,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA ANDRES QUINTANA ROO CALLE NACHI COCOM AVENIDA TEPICH PRIVADA  295  77500,,,21.17186,-86.82617,,,,[TECNOLoGICO]
33,COLEGIO ECAB,23PBH0005Y,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA KABAH AVENIDA JOSE LOPEZ PORTILLO AVENIDA FRANCISCO I MADERO CALLE 97 NORTE 295  77517,,,21.16314,-86.85397,,,,[BACHILLERATO GENERAL]
34,CENTRO DE ATENCION PARA ESTUDIANTES CON DISCAPACIDAD,23DER0003Z,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA CHICHEN ITZA AVENIDA BONAMPAK CALLE HE ZABA CALLE JOSE GARCIA DE LA TORRE 295  77500,,,21.17137,-86.82312,,,,[BACHILLERATO GENERAL]
35,BACHILLERATO [TECNOLoGICO] INSTITUTO LIVIER,23PCT0010D,BACHILLERATO,MEDIA SUPERIOR,PRIVADO,AVENIDA CARLOS J. NADER AVENIDA JOSÉ GARCÍA DE LA TORRE  AVENIDA TULÚM 2 2 77500,,,21.167399,-86.824135,,,,[TECNOLoGICO]
36,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD CANCUN I,23ETC0001Q,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,CALLE 71 CALLE 72 PONIENTE AVENIDA LEONA VICARIO CALLE 79 295  77516,,,21.17592,-86.85298,,,,[TECNOLoGICO]
37,CENTRO DE ESTUDIOS [TECNOLoGICO]S DEL MAR NUM. 41,23DCM0002G,BACHILLERATO,MEDIA SUPERIOR,PÚBLICO,AVENIDA LAK'IN AVENIDA LEONA VICARIO   258 HACIENDAS DEL CARIBE 77539,,,21.148829,-86.906029,,,,[TECNOLoGICO]
